Source File	Size	loadResources	load-configure	scan	loadDepInfo	loadInfo	load	generateSnapshots	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
\fsh-generated\resources\ImplementationGuide-medcom.fhir.dk.core.json	10460	-	0	0	0	0	0	0	16	263	0	0	0	0	0	0	0	0	0	0	405	232	0	0	1	5	0	2
fsh-generated/resources/CareTeam-fb1d34fe-6672-11ed-9022-0242ac120002.json	335	17	0	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	25	46	0	0	0	0	0	0
fsh-generated/resources/Encounter-6220b42d-c4fd-4c77-bae7-78e7d890dc8d.json	410	31	0	0	0	0	0	0	0	389	0	0	0	0	0	0	0	0	0	0	31	49	0	0	0	0	0	0
fsh-generated/resources/Organization-12ee0dde-a672-462f-820d-5efe832d73c9.json	348	24	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	28	34	0	0	0	0	0	0
fsh-generated/resources/Organization-bca68510-fe3b-4161-aba0-908a693eb54f.json	318	24	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	26	47	0	0	0	0	0	0
fsh-generated/resources/Patient-382fb8a3-6725-41e2-a615-2b1cfcfe9931.json	711	21	0	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	27	56	0	0	0	0	0	0
fsh-generated/resources/Patient-5b72c625-0570-4111-b272-f0351344f8b6.json	787	36	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	32	31	0	0	0	0	0	0
fsh-generated/resources/Patient-733cef33-3626-422b-955d-d506aaa65fe1.json	381	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	31	0	0	0	0	0	1
fsh-generated/resources/Practitioner-e9eacb62-666b-11ed-9022-0242ac120002.json	346	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	36	0	0	0	0	0	0
fsh-generated/resources/PractitionerRole-6057686e-666c-11ed-9022-0242ac120002.json	535	11	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	23	41	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-lpr3-Identifier.json	1654	18	0	0	2	0	0	141	1	162	0	0	0	0	0	0	0	0	0	0	218	2477	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-medcom-assigned-identifier.json	1989	19	0	0	0	0	0	248	0	120	0	0	0	0	0	0	0	0	0	0	223	1031	0	0	0	1	1	1
fsh-generated/resources/StructureDefinition-medcom-core-careteam.json	1437	14	0	0	0	0	0	371	0	212	0	0	0	0	0	0	0	13	0	0	390	1576	0	0	0	5	0	1
fsh-generated/resources/StructureDefinition-medcom-core-contact-extension.json	2646	31	0	0	0	0	0	176	0	168	0	0	0	0	0	0	0	0	0	0	238	1001	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-medcom-core-datetime-extension.json	1427	23	0	0	0	0	0	74	0	50	0	0	0	0	0	0	0	0	0	0	110	514	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-medcom-core-ecpr-identifier.json	1526	25	11	0	0	0	0	135	0	101	0	0	0	0	0	0	0	0	0	0	160	809	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-medcom-core-encounter.json	3752	43	0	0	0	0	0	708	0	499	0	0	0	0	0	0	0	5	0	0	913	3253	0	0	0	16	0	9
fsh-generated/resources/StructureDefinition-medcom-core-identifier-extension.json	2046	20	0	0	0	0	0	63	0	133	0	0	0	0	0	0	0	0	0	0	103	477	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-medcom-core-organization.json	1593	13	1	0	0	0	0	497	0	538	0	0	0	0	0	0	0	0	0	0	405	2297	0	0	1	10	1	1
fsh-generated/resources/StructureDefinition-medcom-core-patient.json	5123	23	0	0	0	0	0	552	0	652	0	0	0	0	0	0	0	0	0	0	793	3291	0	0	0	5	0	2
fsh-generated/resources/StructureDefinition-medcom-core-practitioner-extension.json	1720	17	0	0	0	0	0	66	0	39	0	0	0	0	0	0	0	0	0	0	91	585	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-medcom-core-practitioner.json	1196	17	0	0	0	0	0	255	0	175	0	0	0	0	0	0	0	0	0	0	250	2083	0	0	0	9	0	1
fsh-generated/resources/StructureDefinition-medcom-core-practitionerrole.json	2182	20	0	0	0	0	0	296	0	241	0	0	0	0	0	0	0	16	0	0	256	1129	0	0	0	6	0	0
fsh-generated/resources/StructureDefinition-medcom-core-sender-extension.json	1923	17	0	0	0	0	0	44	0	37	0	0	0	0	0	0	0	0	0	0	88	359	0	0	0	1	0	1
fsh-generated/resources/StructureDefinition-medcom-messaging-contactpoint.json	1267	16	0	0	0	0	0	86	0	49	0	0	0	0	0	0	0	0	0	0	99	443	0	0	0	1	0	0
