Source File	Size	loadResources	load-configure	scan	loadDepInfo	loadInfo	load	generateSnapshots	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
\fsh-generated\resources\ImplementationGuide-medcom.fhir.dk.carecommunication.json	41704	-	0	0	0	0	0	0	16	236	0	0	0	0	0	0	0	0	0	0	460	252	0	0	2	11	0	2
fsh-generated/resources/Bundle-add5e7e2-0c0f-4a4a-bfff-f6f984fa7e3c.json	8220	12	0	0	0	0	56	0	0	155	0	0	0	0	0	0	0	0	0	0	109	72	0	0	0	0	0	1
fsh-generated/resources/Bundle-b56549f7-ed10-422d-8088-f7222b686e46.json	12007	33	0	0	0	0	33	0	0	54	0	0	0	0	0	0	0	0	0	0	136	68	0	0	0	0	0	0
fsh-generated/resources/Bundle-c0426e3e-978f-46e8-a366-a30f27854b0a.json	12763	21	0	0	0	0	14	0	0	84	0	0	0	0	0	0	0	0	0	0	139	72	0	0	0	0	0	0
fsh-generated/resources/Bundle-df9019c6-690d-11ed-9022-0242ac120002.json	10749	20	0	0	0	0	23	0	0	36	0	0	0	0	0	0	0	0	0	0	106	54	0	0	0	0	0	0
fsh-generated/resources/Bundle-ed3e05b2-551d-11ed-bdc3-0242ac120002.json	11654	40	0	0	0	0	38	0	0	61	0	0	0	0	0	0	0	0	0	0	117	55	0	0	0	0	0	0
fsh-generated/resources/Bundle-f922f204-4a08-4a7a-a900-63b6e0e92b3e.json	10338	36	15	0	0	0	10	0	0	47	0	0	0	0	0	0	0	0	0	0	106	49	0	0	0	0	0	0
fsh-generated/resources/Bundle-gfd00bc2-9c26-4174-934e-f6e4360845de.json	10882	33	0	0	0	0	17	0	0	28	0	0	0	0	0	0	0	0	0	0	106	48	0	0	0	0	0	0
fsh-generated/resources/Bundle-he3588a5-321e-405c-a5fc-3e2ef672eeeb.json	8268	31	1	0	0	0	35	0	0	29	0	0	0	0	0	0	0	0	0	0	86	57	0	0	0	0	0	0
fsh-generated/resources/Bundle-i5113a08-b1f8-4440-92aa-087d7441178f.json	9716	54	0	0	0	0	18	0	0	41	0	0	0	0	0	0	0	0	0	0	98	50	0	0	0	0	0	0
fsh-generated/resources/Bundle-jf7e4c80-551a-11ed-bdc3-0242ac120002.json	113191	53	0	0	0	0	101	0	0	73	0	0	0	0	0	0	0	0	0	0	458	78	0	0	0	0	0	0
fsh-generated/resources/Bundle-k7bfbc0c-553d-11ed-bdc3-0242ac120002.json	9382	48	1	0	0	0	31	0	0	174	0	0	0	0	0	0	0	0	0	0	79	74	0	0	0	0	0	0
fsh-generated/resources/CareTeam-f693506a-6903-11ed-9022-0242ac120002.json	353	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	23	32	0	0	0	0	0	0
fsh-generated/resources/CareTeam-fb1d34fe-6672-11ed-9022-0242ac120002.json	354	19	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	13	37	0	0	0	0	0	0
fsh-generated/resources/Communication-0f8cde6a-d369-4d94-a2ce-c2cc45fd75fb.json	2921	17	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	28	43	0	0	0	0	0	0
fsh-generated/resources/Communication-1636f3f8-551e-11ed-bdc3-0242ac120002.json	1705	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	21	41	0	0	0	0	0	0
fsh-generated/resources/Communication-3131b349-5162-48a9-9135-9ba730601faa.json	3817	29	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	36	38	0	0	0	0	0	0
fsh-generated/resources/Communication-487e2238-527b-11ec-bf63-0242ac130002.json	105209	24	0	0	0	0	0	0	0	41	0	0	0	0	0	0	0	0	0	0	375	73	0	0	0	0	0	0
fsh-generated/resources/Communication-4c712bdc-1558-4125-a854-fa8b3a11f6ed.json	2846	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	31	37	0	0	0	0	0	0
