Source File	Size	loadResources	load-configure	scan	loadDepInfo	loadInfo	load	generateSnapshots	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
\fsh-generated\resources\ImplementationGuide-medcom.fhir.dk.carecommunicationtestscripts.json	23175	-	0	0	0	0	0	0	12	1127	0	0	0	0	0	0	0	2	0	0	429	541	0	0	3	20	0	6
fsh-generated/resources/TestScript-carecommunication-send-forward-add-attachment.json	10823	16	0	0	0	1	0	0	2	899	0	0	0	0	0	0	0	0	0	0	292	277	0	0	0	4	0	0
fsh-generated/resources/TestScript-carecommunication-send-forward-attachment.json	10591	7	0	0	0	0	0	0	0	174	0	0	0	0	0	0	0	1	0	0	321	269	0	0	0	2	0	1
fsh-generated/resources/TestScript-carecommunication-send-forward-changecategory.json	10522	6	0	0	0	0	0	0	1	105	0	0	0	0	0	0	0	0	0	0	377	342	0	0	1	2	0	2
fsh-generated/resources/TestScript-carecommunication-send-forward-changetopic.json	10478	6	1	0	0	0	0	0	1	106	0	0	0	0	0	0	0	1	0	0	330	183	0	0	0	3	0	1
fsh-generated/resources/TestScript-carecommunication-send-forward-message.json	10464	5	0	0	0	0	0	0	1	41	0	0	0	0	0	0	0	0	0	0	271	187	0	0	1	2	0	0
fsh-generated/resources/TestScript-carecommunication-send-forward-partialthread.json	9935	3	0	0	0	0	0	0	1	36	0	0	0	0	0	0	0	1	0	0	177	135	0	0	0	2	0	1
fsh-generated/resources/TestScript-carecommunication-send-new-attachment-bmp.json	6467	3	0	0	0	0	0	0	1	47	0	0	0	0	0	0	0	0	0	0	105	132	0	0	1	0	0	0
fsh-generated/resources/TestScript-carecommunication-send-new-attachment-gif.json	6467	3	0	0	0	0	0	0	0	121	0	0	0	0	0	0	0	0	0	0	99	136	0	0	0	3	1	0
fsh-generated/resources/TestScript-carecommunication-send-new-attachment-jpeg.json	6473	3	1	0	0	0	0	0	2	40	0	0	0	0	0	0	0	0	0	0	107	131	0	0	1	1	0	0
