URL,Version,Status,OIDs,Name,Title,Description,Used
http://hl7.dk/fhir/core/CodeSystem/DkCoreProfessionGroupCodes,3.4.0,active,,DkCoreProfessionGroupCodes,DK Profession Group Codes,"DK health ProfessionGroup codes as defined by https://www.retsinformation.dk/eli/lta/2019/731, and derived from http://autregwebservice.sst.dk/autregservice.asmx/GetAllProfessionGroups. Code (5176) was not uniqe, and have been converted to 5176a and 5176b","ValueSet/DkCoreProfessionGroupValueSet"
http://hl7.dk/fhir/core/CodeSystem/dk-core-municipality-codes,3.4.0,active,,MunicipalityCodes,DK Municipality Codes,"Municipality codes as defined by https://danmarksadresser.dk/adressedata/kodelister/kommunekodeliste/ and https://sundhedsdatastyrelsen.dk/-/media/sds/filer/rammer-og-retningslinjer/patientregistrering/relaterede/kommuneklassifikation.pdf","ValueSet/dk-core-MunicipalityCodes"
http://hl7.dk/fhir/core/CodeSystem/dk-core-municipality-codes-greenland,3.4.0,active,,GreenlandMunicipalityCodes,DK Greenland Municipality Codes,"Greenland municipality codes as defined by https://www.iso.org/obp/ui/#iso:code:3166:GL and https://cpr.dk/cpr-systemet/kommunesammenlaegninger-opdeling/groenland-2018/","ValueSet/dk-core-MunicipalityCodes"
http://hl7.dk/fhir/core/CodeSystem/dk-marital-status,3.4.0,active,,DkMaritalStatus,DK Marital Statuses,"DK marital statuses","ValueSet/dk-marital-status"
http://hl7.org/fhir/address-type,4.0.1,active,"2.16.840.1.113883.4.642.4.70",AddressType,AddressType,"The type of an address (physical / postal).","ValueSet/address-type"
http://hl7.org/fhir/address-use,4.0.1,active,"2.16.840.1.113883.4.642.4.68",AddressUse,AddressUse,"The use of an address.","ValueSet/address-use"
http://hl7.org/fhir/administrative-gender,4.0.1,active,"2.16.840.1.113883.4.642.4.2",AdministrativeGender,AdministrativeGender,"The gender of a person used for administrative purposes.","ValueSet/administrative-gender"
http://hl7.org/fhir/care-team-status,4.0.1,draft,"2.16.840.1.113883.4.642.4.154",CareTeamStatus,CareTeamStatus,"Indicates the status of the care team.","ValueSet/care-team-status"
http://hl7.org/fhir/contact-point-system,4.0.1,active,"2.16.840.1.113883.4.642.4.72",ContactPointSystem,ContactPointSystem,"Telecommunications form for contact point.","ValueSet/contact-point-system"
http://hl7.org/fhir/contact-point-use,4.0.1,active,"2.16.840.1.113883.4.642.4.74",ContactPointUse,ContactPointUse,"Use of contact point.","ValueSet/contact-point-use"
