Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-medcom.fhir.dk.document.json	15844	-	0	0	0	0	0	0	16	53	0	0	0	0	0	0	0	1	0	0	140	123	0	0	0	6	0	1
fsh-generated/resources/ActorDefinition-ProducerActor.json	251	7	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	18	52	0	0	1	1	0	0
fsh-generated/resources/Bundle-0a74554f-ded3-4bc7-bef1-535699565c5b.json	108407	8	53	0	0	0	0	0	2	1530	0	0	0	0	0	0	0	0	0	0	470	177	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-MedCom-ihe-classcode-CS-TEMP.json	648	9	0	0	0	0	1	0	0	14	0	0	0	0	0	0	0	0	0	0	23	523	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-MedCom-ihe-formatcode-CS-TEMP.json	4895	6	0	0	1	0	0	0	1	17	0	0	0	0	0	0	0	0	0	0	40	130	0	0	0	5	0	0
fsh-generated/resources/CodeSystem-MedCom-ihe-homeCommunityId-CS-TEMP.json	831	4	0	0	0	0	0	0	1	11	0	0	0	0	0	0	0	0	0	0	18	55	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-MedCom-message-codes-CS-TEMP.json	1471	5	0	0	0	0	0	0	0	7	0	0	0	1	0	0	0	0	0	0	21	52	0	0	0	1	0	1
fsh-generated/resources/Composition-384ca229-c562-4a26-a035-c0c38108e037.json	1446	5	0	0	0	0	0	0	1	8	0	0	0	0	0	0	0	0	0	0	19	22	1	0	0	0	0	0
fsh-generated/resources/Observation-ef810168-ee8c-4f14-9012-6aff6c1d86e7.json	102416	5	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	424	42	0	0	0	0	0	0
fsh-generated/resources/Organization-8fa7df76-bec2-4fe2-9a44-750030a0eda0.json	356	5	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	13	12	0	0	0	0	0	0
fsh-generated/resources/Organization-f8d0eb07-5336-4005-9081-b065f9a82663.json	364	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	15	0	0	0	0	0	0
fsh-generated/resources/Patient-37628912-7816-47a3-acd8-396b610be142.json	501	4	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	13	12	0	0	0	0	0	0
fsh-generated/resources/Patient-379ebb53-11e3-42ac-b9db-0bad0ece46d1.json	501	5	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	13	12	0	0	0	0	0	0
fsh-generated/resources/Practitioner-42cb9200-f421-4d08-8391-7d51a2503cb4.json	449	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	11	0	0	0	0	0	0
fsh-generated/resources/Practitioner-48ed6310-3095-44da-9e34-d1cd6bd830c9.json	449	4	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	15	12	0	0	0	0	0	0
fsh-generated/resources/PractitionerRole-bb6fa4e1-f8b1-4bf4-b77e-bb03b2cc9820.json	771	5	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	17	14	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-medcom-contained-documentreference.json	39156	12	0	1513	0	0	0	1	0	136	0	0	1	0	0	0	0	3	0	0	1097	2545	0	0	0	45	0	2
fsh-generated/resources/StructureDefinition-medcom-document-bundle.json	2542	5	0	87	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	258	418	0	0	0	7	0	1
