Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-medcom.fhir.dk.document.json	5470	-	0	0	0	0	0	0	4	367	0	0	0	0	0	0	0	1	0	0	100	70	0	0	0	4	0	0
fsh-generated/resources/Organization-8fa7df76-bec2-4fe2-9a44-750030a0eda0.json	347	21	0	0	0	0	0	0	0	1055	0	0	0	0	0	0	0	0	0	0	15	17	0	0	0	0	0	0
fsh-generated/resources/Patient-37628912-7816-47a3-acd8-396b610be142.json	501	4	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	11	20	0	0	0	0	0	0
fsh-generated/resources/Practitioner-42cb9200-f421-4d08-8391-7d51a2503cb4.json	314	4	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	10	15	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-medcom-document-bundle.json	1486	8	0	53	1	0	1	0	0	34	0	0	0	0	0	0	0	2	0	0	187	581	0	0	0	6	0	1
fsh-generated/resources/StructureDefinition-medcom-document-composition.json	5787	9	0	136	0	0	0	0	1	34	0	0	1	0	0	0	0	2	0	0	367	827	0	0	0	11	0	1
fsh-generated/resources/StructureDefinition-medcom-document-homecommunityid-extension.json	2298	8	0	31	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	86	133	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-medcom-document-organization.json	712	3	0	37	0	0	0	0	0	16	0	0	0	0	0	0	0	2	0	0	194	309	0	0	0	6	0	2
fsh-generated/resources/StructureDefinition-medcom-document-patient.json	2219	4	0	67	0	0	0	0	0	74	0	0	0	0	0	0	0	3	0	0	317	418	0	0	0	13	0	1
fsh-generated/resources/StructureDefinition-medcom-document-practitioner.json	999	4	0	39	0	0	0	0	0	18	0	0	0	0	0	0	0	1	0	0	181	190	0	0	0	5	0	0
fsh-generated/resources/StructureDefinition-medcom-document-version-id-extension.json	2037	3	0	23	1	0	0	0	0	34	0	0	0	0	0	0	0	0	0	0	62	75	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-medcom-documentreference.json	14701	8	0	1292	0	0	0	0	0	72	0	0	0	0	0	0	0	5	0	0	535	861	0	0	0	24	1	1
