Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-medcom.fhir.dk.homecareobservation.json	25561	-	0	0	0	0	0	0	5	918	0	0	0	0	0	0	0	1	0	0	153	129	0	0	0	7	0	1
fsh-generated/resources/Bundle-401cbc36-db1e-4fe0-bf90-6df331dde179.json	16718	10	30	0	0	0	0	0	2	2120	0	0	0	0	0	0	0	0	0	0	93	127	0	0	0	0	0	0
fsh-generated/resources/Bundle-5f341feb-9a20-463a-96cc-a9ca8ace5567.json	16635	9	8	0	0	0	0	0	1	48	0	0	0	0	0	0	0	0	0	0	82	117	0	0	0	0	0	1
fsh-generated/resources/Bundle-73996cdc-3192-4d15-bd16-c365ef0085e7.json	16991	8	8	0	0	0	0	0	0	44	0	0	0	0	0	0	0	1	0	0	74	96	0	0	0	0	0	0
fsh-generated/resources/Bundle-add5e7e2-0c0f-4a4a-bfff-f6f984fa7e3c.json	49682	9	25	0	0	0	0	0	1	874	0	0	0	0	0	0	0	0	0	0	139	99	0	0	0	0	0	0
fsh-generated/resources/Bundle-faa0c104-0ebf-49cb-bad1-9e0f59436e18.json	12292	5	5	0	0	0	0	0	1	42	0	0	0	0	0	0	0	0	0	0	56	50	0	0	0	0	0	0
fsh-generated/resources/DiagnosticReport-4f013d3a-575c-447d-83e1-7a5fb7f7b0de.json	1344	3	0	0	1	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	21	19	0	0	0	0	0	0
fsh-generated/resources/DiagnosticReport-6d08f000-33cc-41f3-a7c2-c086d53d31a7.json	1207	4	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	19	16	0	0	0	0	0	0
fsh-generated/resources/DiagnosticReport-870333ac-3134-4ae6-8257-86e0b0537c5f.json	1787	4	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	25	19	0	0	0	0	0	0
fsh-generated/resources/DiagnosticReport-cfa9e95b-b5ac-4cfe-abe7-ea29e6b67919.json	1698	3	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	22	17	0	0	0	0	0	0
fsh-generated/resources/DiagnosticReport-efb1ed12-6a5d-4342-9572-861071644e46.json	1633	3	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	23	18	0	0	0	0	0	0
fsh-generated/resources/Media-cb277ee2-5d96-4762-829d-d36449b2b17f.json	27500	4	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	62	23	0	0	0	0	0	0
fsh-generated/resources/MessageHeader-07eb074b-be00-47e5-8bcb-484990a1a97e.json	1339	3	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	19	19	0	1	0	0	0	0
fsh-generated/resources/MessageHeader-36cb86f1-a01a-4115-a84d-9390aa0ddcbd.json	1339	3	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	19	16	0	0	0	0	0	0
fsh-generated/resources/MessageHeader-489de4f2-0d8d-4de2-a7ce-ccb93568799f.json	1339	4	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	18	15	0	0	0	0	0	0
fsh-generated/resources/MessageHeader-8dbf63f4-b784-4d40-8802-c1bdb1ecfa63.json	1339	3	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	18	16	0	0	0	0	0	0
fsh-generated/resources/MessageHeader-e9f4cc68-b1b7-46b2-ba74-7cc39a914bfa.json	1339	4	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	18	16	0	0	0	0	0	0
fsh-generated/resources/Observation-0e4a5452-1804-42d3-82ed-484df20a09f0.json	881	3	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	16	14	0	0	0	0	0	0
fsh-generated/resources/Observation-1b089a05-0a5f-479d-9cbd-921a13470221.json	885	4	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	16	14	0	0	0	0	0	0
fsh-generated/resources/Observation-1e2351e2-77df-4135-a77b-6a4c39e4a4ca.json	890	3	0	0	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	15	14	0	0	0	0	0	0
fsh-generated/resources/Observation-2fc2c078-825b-491d-9f8e-34926eb4f06f.json	874	4	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	16	14	0	0	0	0	0	0
fsh-generated/resources/Observation-3fd3835d-1758-4d22-8547-000182752817.json	870	3	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	15	13	0	0	0	0	0	0
fsh-generated/resources/Observation-470d39e4-d3f9-4301-82eb-b957ba33475e.json	972	3	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	16	13	0	0	0	0	0	0
fsh-generated/resources/Observation-4a94a70e-6957-47a8-bec7-3e27b3145668.json	885	4	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	16	13	0	0	0	0	0	0
fsh-generated/resources/Observation-4b8f899a-df12-4301-8287-9a77d46ded3d.json	870	3	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	16	14	0	0	0	0	0	0
fsh-generated/resources/Observation-6bf03841-8397-4a2a-9f9a-8966b0cfa571.json	908	4	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	16	13	0	0	0	0	0	0
fsh-generated/resources/Observation-7fcb76a7-839b-4392-a2ff-f30035faca34.json	884	3	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	15	13	0	0	0	0	0	0
fsh-generated/resources/Observation-85fd1372-cf02-49c6-bd45-7205f5541a66.json	871	4	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	15	13	0	0	0	0	0	0
fsh-generated/resources/Observation-8917f29d-269c-4bb3-8ce9-d255c351d52b.json	885	3	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	16	13	0	0	0	0	0	0
fsh-generated/resources/Observation-b22fcbe0-4977-433e-ad1c-d6545bc8c1cb.json	891	4	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	15	13	0	0	0	0	0	0
fsh-generated/resources/Observation-ba691ee4-6d38-4f5b-82f1-40b54e3b8ad1.json	981	3	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	15	16	0	0	0	0	0	0
fsh-generated/resources/Observation-d2b89faa-979a-430d-8887-21ccdf6f238b.json	884	3	0	0	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	16	14	0	0	0	0	0	0
fsh-generated/resources/Observation-f58819ff-d727-4740-a4ef-44eefc77022e.json	840	4	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	16	13	0	0	0	0	0	0
fsh-generated/resources/Observation-f64a0a78-53cf-4a7f-9b89-4a2338a4935c.json	908	3	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	17	13	0	0	0	0	0	0
