URL,Version,Status,OIDs,Name,Title,Description,Used
http://hl7.org/fhir/contact-point-system,4.0.1,active,"2.16.840.1.113883.4.642.4.72",ContactPointSystem,ContactPointSystem,"Telecommunications form for contact point.","ValueSet/contact-point-system"
http://hl7.org/fhir/contact-point-use,4.0.1,active,"2.16.840.1.113883.4.642.4.74",ContactPointUse,ContactPointUse,"Use of contact point.","ValueSet/contact-point-use"
http://hl7.org/fhir/identifier-use,4.0.1,active,"2.16.840.1.113883.4.642.4.58",IdentifierUse,IdentifierUse,"Identifies the purpose for this identifier, if known .","ValueSet/identifier-use"
http://hl7.org/fhir/message-events,4.0.1,active,,MessageEvent,MessageEvent,"One of the message events defined as part of this version of FHIR.","ValueSet/message-events"
http://hl7.org/fhir/message-significance-category,4.0.1,draft,"2.16.840.1.113883.4.642.4.189",MessageSignificanceCategory,MessageSignificanceCategory,"The impact of the content of a message.","ValueSet/message-significance-category"
http://hl7.org/fhir/messageheader-response-request,4.0.1,draft,"2.16.840.1.113883.4.642.4.925",messageheader-response-request,messageheader-response-request,"HL7-defined table of codes which identify conditions under which acknowledgments are required to be returned in response to a message.","ValueSet/messageheader-response-request"
http://hl7.org/fhir/publication-status,4.0.1,active,"2.16.840.1.113883.4.642.4.4",PublicationStatus,PublicationStatus,"The lifecycle status of an artifact.","ValueSet/publication-status"
http://hl7.org/fhir/resource-types,4.0.1,active,,ResourceType,ResourceType,"One of the resource types defined as part of this version of FHIR.","ValueSet/resource-types"
http://medcomfhir.dk/ig/terminology/CodeSystem/medcom-message-definition-type,1.8.1,active,,MedComMessageDefinitionType,MedComMessageDefinitionTypeCodeSystem,"MedComMessageDefinitionTypeCS for the messaging infrastructure","ValueSet/medcom-message-definition-type-valueset"
http://snomed.info/sct,null,active,"2.16.840.1.113883.6.96",SNOMED_CT,SNOMED CT (all versions),"SNOMED CT is the most comprehensive and precise clinical health terminology product in the world, owned and distributed around the world by The International Health Terminology Standards Development Organisation (IHTSDO).","ValueSet/use-context"
http://terminology.hl7.org/CodeSystem/usage-context-type,2.0.1,active,"2.16.840.1.113883.4.642.1.1068",UsageContextType,UsageContextType,"A code that specifies a type of context being specified by a usage context.","ValueSet/medcom-messagedefinition-use-context-code-valueset"
urn:ietf:bcp:47,2.0.1,active,"2.16.840.1.113883.6.121",Ietf3066,Tags for the Identification of Languages,"Older value from OID registry.  Superceded; see recommendations in BCP-47.","ValueSet/languages"
urn:iso:std:iso:3166,1.0.1,active,"1.0.3166.1",ISO3166Part1,ISO 3166-1 Codes for the representation of names of countries and their subdivisions — Part 1: Country code,"ISO 3166-1 establishes codes that represent the current names of countries, dependencies, and other areas of particular geopolitical interest, on the basis of country names obtained from the United Nations.","ValueSet/jurisdiction,ValueSet/use-context"
urn:iso:std:iso:3166:-2,2013-11,retired,"1.0.3166.2",Iso3166_2,ISO 3166 Part 2 Country Subdivision Codes,"Identifies the coding system published in the ISO 3166-2 Standard for Country Subdivision codes. This standard is released periodically, and a new OID will be assigned by ISO for new editions.","ValueSet/jurisdiction"
