URL,Version,Status,OIDs,Name,Title,Descriptino,Used
http://hl7.org/fhir/encounter-status,4.0.1,draft,"2.16.840.1.113883.4.642.4.247",EncounterStatus,EncounterStatus,"Current state of the encounter.","ValueSet/medcom-hospitalNotification-encounterStatus"
http://hl7.org/fhir/request-priority,4.0.1,draft,"2.16.840.1.113883.4.642.4.116",RequestPriority,RequestPriority,"Identifies the level of importance to be assigned to actioning the request.","ValueSet/medcom-careCommunication-requestPriority"
http://medcomfhir.dk/ig/terminology/CodeSystem/medcom-acknowledgement-issue-details,1.0.0,draft,,MedComAcknowledgementIssueDetails,MedComAcknowledgementIssueDetails,"CodeSystem including detailed issues describtions. This CodeSystem is intended to be extended in collaboration the IT-vendors.","ValueSet/medcom-acknowledgement-issue-details"
http://medcomfhir.dk/ig/terminology/CodeSystem/medcom-careCommunication-categoryCodes,1.0.0,active,,MedComCareCommunicationCategoryCodes,MedComCareCommunicationCategories,"Category codes for care communication messages","ValueSet/medcom-careCommunication-categories"
http://medcomfhir.dk/ig/terminology/CodeSystem/medcom-core-ecpr-codes,1.0.0,active,,MedComCoreECPRCodes,MedComCoreECPRCodes,"CodeSystem with systems used to represent the system of a Danish replacement person identifier (eCPR).","ValueSet/medcom-core-ecpr-values"
http://medcomfhir.dk/ig/terminology/CodeSystem/medcom-core-encounter-act-codes,1.0.0,active,,MedComCoreEncounterActCodes,MedComCoreEncounterActCodes,"CodeSystem with code for classification of an encounter.","ValueSet/medcom-core-encounter-class"
http://medcomfhir.dk/ig/terminology/CodeSystem/medcom-messaging-activityCodes,1.0.0,active,,MedComMessagingActivityCodes,MedComMessagingActivityCodes,"CodeSystem containing codes for activities occuring in MedCom messages","ValueSet/medcom-careCommunication-messagingActivities,ValueSet/medcom-hospitalNotification-messageActivities,ValueSet/medcom-messaging-activityCodes"
http://medcomfhir.dk/ig/terminology/CodeSystem/medcom-messaging-eventCodes,1.0.0,active,,MedComMessageEventCodes,MedComMessagingEventCodes,"CodeSystem including all types of MedCom messages","ValueSet/medcom-messaging-messageTypes"
http://medcomfhir.dk/ig/terminology/CodeSystem/medcom-messaging-sorEdiSystem,1.0.0,active,,MedComMessagingSorEdiSystem,MedComMessagingSorEdiCodeSystem,"Codes for SOREDI message types","ValueSet/medcom-messaging-sorEdiValues"
http://terminology.hl7.org/CodeSystem/v3-ActCode,8.0.1,active,"2.16.840.1.113883.5.4",ActCode,ActCode,"A code specifying the particular kind of Act that the Act-instance represents within its class.    *Constraints:* The kind of Act (e.g. physical examination, serum potassium, inpatient encounter, charge financial transaction, etc.) is specified with a code from one of several, typically external, coding systems. The coding system will depend on the class of Act, such as LOINC for observations, etc.    Conceptually, the Act.code must be a specialization of the Act.classCode. This is why the structure of ActClass domain should be reflected in the superstructure of the ActCode domain and then individual codes or externally referenced vocabularies subordinated under these domains that reflect the ActClass structure.    Act.classCode and Act.code are not modifiers of each other but the Act.code concept should really imply the Act.classCode concept. For a negative example, it is not appropriate to use an Act.code ""potassium"" together with and Act.classCode for ""laboratory observation"" to somehow mean ""potassium laboratory observation"" and then use the same Act.code for ""potassium"" together with Act.classCode for ""medication"" to mean ""substitution of potassium"". This mutually modifying use of Act.code and Act.classCode is not permitted.","ValueSet/medcom-core-encounter-class,ValueSet/medcom-hospitalNotification-encounterClass"
