URL,Version,Status,OIDs,Name,Title,Description,Used
http://medcomfhir.dk/ig/terminology/CodeSystem/MedComDiagnosticReportCodes,2.0.0-draft,draft,,MedComDiagnosticReportCodes,MedComDiagnosticReportCodes,"Codes that represents the name of the diagnostic report",
http://medcomfhir.dk/ig/terminology/CodeSystem/MedComProducentID,2.0.0-draft,draft,,MedComProducentID,MedComProducentID,"ProducentD that describes who performed the observation",
http://medcomfhir.dk/ig/terminology/CodeSystem/medcom-acknowledgement-error-codes,2.0.0-draft,active,,MedComAcknowledgementErrorCodes,MedComAcknowledgementErrorCodes,"CodeSystem including detailed error codes describtions. ",
http://medcomfhir.dk/ig/terminology/CodeSystem/medcom-careCommunication-categoryCodes,2.0.0-draft,active,,MedComCareCommunicationCategoryCodes,MedComCareCommunicationCategories,"Category codes for care communication messages",
http://medcomfhir.dk/ig/terminology/CodeSystem/medcom-core-PractitionerRolesAutorisationsregistret,2.0.0-draft,active,,MedComCorePractitionerRolesAutorisationsregistret,MedComCorePractitionerRolesAutorisationsregistret,"CodeSystem containing codes for practionerroles (Danish:Stillingsbetegnelser) from [autorisationsregistret](https://stps.dk/da/autorisation/opslagautreg/) ",
http://medcomfhir.dk/ig/terminology/CodeSystem/medcom-core-PractitionerRolesSKSadministrativ,2.0.0-draft,active,,MedComCorePractitionerRolesSKSadministrativ,MedComCorePractitionerRolesSKSadministrativ,"CodeSystem containing codes for practionerroles (Danish:Stillingsbetegnelser) from [SKS Administrativt-Personaleklassifikation](https://medinfo.dk/sks/brows.php?s_nod=924) ",
http://medcomfhir.dk/ig/terminology/CodeSystem/medcom-core-encounter-act-codes,2.0.0-draft,active,,MedComCoreEncounterActCodes,MedComCoreEncounterActCodes,"CodeSystem with code for classification of an encounter.",
http://medcomfhir.dk/ig/terminology/CodeSystem/medcom-core-interpretation-codes,2.0.0-draft,active,,MedComCoreInterpretationCodes,MedComCoreInterpretationCodes,"CodeSystem with code for interpretation of an observation",
http://medcomfhir.dk/ig/terminology/CodeSystem/medcom-message-definition-type,2.0.0-draft,active,,MedComMessageDefinitionType,MedComMessageDefinitionTypeCodeSystem,"MedComMessageDefinitionTypeCS for the messaging infrastructure",
http://medcomfhir.dk/ig/terminology/CodeSystem/medcom-messagedefinition-identifer-system,2.0.0-draft,active,,MedComMessageDefinitionIdentifierSystem,MessageDefinitionIdentifierSystemCodeSystem,"MessageDefinitionIdentifierSystemCS for the messaging infrastructure",
http://medcomfhir.dk/ig/terminology/CodeSystem/medcom-messaging-activityCodes,2.0.0-draft,active,,MedComMessagingActivityCodes,MedComMessagingActivityCodes,"CodeSystem containing codes for activities occuring in MedCom messages",
http://medcomfhir.dk/ig/terminology/CodeSystem/medcom-messaging-cancellation-reason,2.0.0-draft,draft,,MedComMessagingCancellationReason,MedComMessagingCancellationReason,"CodeSystem including text that describes the reason for cancelling a message.",
http://medcomfhir.dk/ig/terminology/CodeSystem/medcom-messaging-destinationUse,2.0.0-draft,active,,MedComMessagingDesinationUseCodes,MedComMessagingDestinationUse,"Codes indicatin whether the use of a destination in a MedCom message header is as a primary or a carbon copy recipient of the message",
http://medcomfhir.dk/ig/terminology/CodeSystem/medcom-messaging-eventCodes,2.0.0-draft,active,,MedComMessageEventCodes,MedComMessagingEventCodes,"CodeSystem including all types of MedCom messages",
http://medcomfhir.dk/ig/terminology/CodeSystem/medcom-messaging-sorEdiSystem,2.0.0-draft,active,,MedComMessagingSorEdiSystem,MedComMessagingSorEdiCodeSystem,"Codes for SOREDI message types",
http://medcomfhir.dk/ig/terminology/CodeSystem/medcom-messaging-statisticalCodes,2.0.0-draft,active,,MedComMessagingStatisticalCodes,MedComMessagingStatisticalCodes,"Statistical Codes for MedCom VANS messages",
http://medcomfhir.dk/ig/terminology/CodeSystem/medcom-observation-codes,2.0.0-draft,draft,,MedComObservationCodes,MedComObservationCodes,"CodeSystem with observations codes used in HomeCareObservation",
http://medcomfhir.dk/ig/terminology/CodeSystem/medcom-observation-resultGroup,2.0.0-draft,draft,,MedComObservationResultGroup,MedComObservationResultGroup,"The observation result group are intended to be used to sort the individual analyzes.",
urn:oid:1.2.208.176.2.1,2.0.0-draft,draft,"1.2.208.176.2.1",NPUObservationCodes,NPUObservationCodes,"CodeSystem with NPU observation codes",
