URL,Version,Status,OIDs,Name,Title,Description,Used
http://medcomfhir.dk/ig/terminology/CodeSystem/MedComDiagnosticReportCodes,1.8.2,active,,MedComDiagnosticReportCodes,MedComDiagnosticReportCodes,"Codes that represents the name of the diagnostic report",
http://medcomfhir.dk/ig/terminology/CodeSystem/MedComProducentID,1.8.2,active,,MedComProducentID,MedComProducentID,"ProducentD that describes who performed the observation",
http://medcomfhir.dk/ig/terminology/CodeSystem/medcom-acknowledgement-error-codes,1.8.1,active,,MedComAcknowledgementErrorCodes,MedComAcknowledgementErrorCodes,"CodeSystem including detailed error codes describtions. ",
http://medcomfhir.dk/ig/terminology/CodeSystem/medcom-careCommunication-categoryCodes,1.9.0,active,,MedComCareCommunicationCategoryCodes,MedComCareCommunicationCategories,"Category codes for care communication messages",
http://medcomfhir.dk/ig/terminology/CodeSystem/medcom-core-PractitionerRolesAutorisationsregistret,1.8.1,active,,MedComCorePractitionerRolesAutorisationsregistret,MedComCorePractitionerRolesAutorisationsregistret,"CodeSystem containing codes for practionerroles (Danish:Stillingsbetegnelser) from [autorisationsregistret](https://stps.dk/da/autorisation/opslagautreg/) ",
http://medcomfhir.dk/ig/terminology/CodeSystem/medcom-core-PractitionerRolesSKSadministrativ,2.0.0,active,,MedComCorePractitionerRolesSKSadministrativ,MedComCorePractitionerRolesSKSadministrativ,"CodeSystem containing codes for practionerroles (Danish:Stillingsbetegnelser) from [SKS Administrativt-Personaleklassifikation](https://medinfo.dk/sks/brows.php?s_nod=924).",
http://medcomfhir.dk/ig/terminology/CodeSystem/medcom-core-encounter-act-codes,1.8.1,active,,MedComCoreEncounterActCodes,MedComCoreEncounterActCodes,"CodeSystem with code for classification of an encounter.",
http://medcomfhir.dk/ig/terminology/CodeSystem/medcom-core-interpretation-codes,1.8.2,active,,MedComCoreInterpretationCodes,MedComCoreInterpretationCodes,"CodeSystem with code for interpretation of an observation",
http://medcomfhir.dk/ig/terminology/CodeSystem/medcom-message-definition-type,1.8.1,active,,MedComMessageDefinitionType,MedComMessageDefinitionTypeCodeSystem,"MedComMessageDefinitionTypeCS for the messaging infrastructure",
http://medcomfhir.dk/ig/terminology/CodeSystem/medcom-messagedefinition-identifer-system,1.8.1,active,,MedComMessageDefinitionIdentifierSystem,MessageDefinitionIdentifierSystemCodeSystem,"MessageDefinitionIdentifierSystemCS for the messaging infrastructure",
http://medcomfhir.dk/ig/terminology/CodeSystem/medcom-messaging-activityCodes,1.8.1,active,,MedComMessagingActivityCodes,MedComMessagingActivityCodes,"CodeSystem containing codes for activities occuring in MedCom messages",
http://medcomfhir.dk/ig/terminology/CodeSystem/medcom-messaging-cancellation-reason,1.8.1,draft,,MedComMessagingCancellationReason,MedComMessagingCancellationReason,"CodeSystem including text that describes the reason for cancelling a message.",
http://medcomfhir.dk/ig/terminology/CodeSystem/medcom-messaging-destinationUse,1.8.1,active,,MedComMessagingDesinationUseCodes,MedComMessagingDestinationUse,"Codes indicatin whether the use of a destination in a MedCom message header is as a primary or a carbon copy recipient of the message",
http://medcomfhir.dk/ig/terminology/CodeSystem/medcom-messaging-eventCodes,1.8.1,active,,MedComMessageEventCodes,MedComMessagingEventCodes,"CodeSystem including all types of MedCom messages",
http://medcomfhir.dk/ig/terminology/CodeSystem/medcom-messaging-sorEdiSystem,1.8.1,active,,MedComMessagingSorEdiSystem,MedComMessagingSorEdiCodeSystem,"Codes for SOREDI message types",
http://medcomfhir.dk/ig/terminology/CodeSystem/medcom-messaging-statisticalCodes,2.0.0,active,,MedComMessagingStatisticalCodes,MedComMessagingStatisticalCodes,"Statistical Codes for MedCom VANS messages",
http://medcomfhir.dk/ig/terminology/CodeSystem/medcom-observation-codes,1.0.1,active,,MedComObservationCodes,MedComObservationCodes,"CodeSystem with observations codes used in HomeCareObservation",
http://medcomfhir.dk/ig/terminology/CodeSystem/medcom-observation-resultGroup,1.8.2,active,,MedComObservationResultGroup,MedComObservationResultGroup,"The observation result group are intended to be used to sort the individual analyzes.",
urn:oid:1.2.208.176.2.1,1.1.0,active,"1.2.208.176.2.1",NPUObservationCodes,NPUObservationCodes,"CodeSystem with NPU observation codes",
