URL,Version,Status,OIDs,Name,Title,Description,Used
http://hl7.org/fhir/diagnostic-report-status,4.0.1,draft,"2.16.840.1.113883.4.642.4.236",DiagnosticReportStatus,DiagnosticReportStatus,"The status of the diagnostic report.","ValueSet/medcom-corediagnosticreport-status"
http://hl7.org/fhir/encounter-status,4.0.1,draft,"2.16.840.1.113883.4.642.4.247",EncounterStatus,EncounterStatus,"Current state of the encounter.","ValueSet/medcom-hospitalNotification-encounterStatus"
http://hl7.org/fhir/observation-status,4.0.1,active,"2.16.840.1.113883.4.642.4.401",ObservationStatus,ObservationStatus,"Codes providing the status of an observation.","ValueSet/medcom-core-observation-status"
http://hl7.org/fhir/request-priority,4.0.1,draft,"2.16.840.1.113883.4.642.4.116",RequestPriority,RequestPriority,"Identifies the level of importance to be assigned to actioning the request.","ValueSet/medcom-careCommunication-requestPriority"
http://medcomfhir.dk/ig/terminology/CodeSystem/MedComDiagnosticReportCodes,2.0.0-draft,draft,,MedComDiagnosticReportCodes,MedComDiagnosticReportCodes,"Codes that represents the name of the diagnostic report","ValueSet/MedComDiagnosticReportCodesValueset"
http://medcomfhir.dk/ig/terminology/CodeSystem/MedComProducentID,2.0.0-draft,draft,,MedComProducentID,MedComProducentID,"ProducentD that describes who performed the observation","ValueSet/medcm-producentID-valueset"
http://medcomfhir.dk/ig/terminology/CodeSystem/medcom-acknowledgement-error-codes,2.0.0-draft,active,,MedComAcknowledgementErrorCodes,MedComAcknowledgementErrorCodes,"CodeSystem including detailed error codes describtions. ","ValueSet/medcom-acknowledgement-issue-details"
http://medcomfhir.dk/ig/terminology/CodeSystem/medcom-careCommunication-categoryCodes,2.0.0-draft,active,,MedComCareCommunicationCategoryCodes,MedComCareCommunicationCategories,"Category codes for care communication messages","ValueSet/medcom-careCommunication-categories"
http://medcomfhir.dk/ig/terminology/CodeSystem/medcom-core-PractitionerRolesAutorisationsregistret,2.0.0-draft,active,,MedComCorePractitionerRolesAutorisationsregistret,MedComCorePractitionerRolesAutorisationsregistret,"CodeSystem containing codes for practionerroles (Danish:Stillingsbetegnelser) from [autorisationsregistret](https://stps.dk/da/autorisation/opslagautreg/) ","ValueSet/medcom-core-PractitionerRoles"
http://medcomfhir.dk/ig/terminology/CodeSystem/medcom-core-PractitionerRolesSKSadministrativ,2.0.0-draft,active,,MedComCorePractitionerRolesSKSadministrativ,MedComCorePractitionerRolesSKSadministrativ,"CodeSystem containing codes for practionerroles (Danish:Stillingsbetegnelser) from [SKS Administrativt-Personaleklassifikation](https://medinfo.dk/sks/brows.php?s_nod=924) ","ValueSet/medcom-core-PractitionerRoles"
http://medcomfhir.dk/ig/terminology/CodeSystem/medcom-core-encounter-act-codes,2.0.0-draft,active,,MedComCoreEncounterActCodes,MedComCoreEncounterActCodes,"CodeSystem with code for classification of an encounter.","ValueSet/medcom-core-encounter-class"
http://medcomfhir.dk/ig/terminology/CodeSystem/medcom-core-interpretation-codes,2.0.0-draft,active,,MedComCoreInterpretationCodes,MedComCoreInterpretationCodes,"CodeSystem with code for interpretation of an observation","ValueSet/medcom-core-interpreation-valueset"
http://medcomfhir.dk/ig/terminology/CodeSystem/medcom-message-definition-type,2.0.0-draft,active,,MedComMessageDefinitionType,MedComMessageDefinitionTypeCodeSystem,"MedComMessageDefinitionTypeCS for the messaging infrastructure","ValueSet/medcom-message-definition-type-valueset"
http://medcomfhir.dk/ig/terminology/CodeSystem/medcom-messagedefinition-identifer-system,2.0.0-draft,active,,MedComMessageDefinitionIdentifierSystem,MessageDefinitionIdentifierSystemCodeSystem,"MessageDefinitionIdentifierSystemCS for the messaging infrastructure","ValueSet/medcom-messagedefinition-identifer-system-valueset"
http://medcomfhir.dk/ig/terminology/CodeSystem/medcom-messaging-activityCodes,2.0.0-draft,active,,MedComMessagingActivityCodes,MedComMessagingActivityCodes,"CodeSystem containing codes for activities occuring in MedCom messages","ValueSet/medcom-careCommunication-messagingActivities,ValueSet/medcom-HomeCareObservation-messagingActivities,ValueSet/medcom-hospitalNotification-messageActivities,ValueSet/medcom-messaging-activityCodes"
http://medcomfhir.dk/ig/terminology/CodeSystem/medcom-messaging-eventCodes,2.0.0-draft,active,,MedComMessageEventCodes,MedComMessagingEventCodes,"CodeSystem including all types of MedCom messages","ConceptMap/medcom-messaging-mapFhirToSorEdi,ValueSet/medcom-messaging-messageTypes"
http://medcomfhir.dk/ig/terminology/CodeSystem/medcom-messaging-sorEdiSystem,2.0.0-draft,active,,MedComMessagingSorEdiSystem,MedComMessagingSorEdiCodeSystem,"Codes for SOREDI message types","ValueSet/medcom-messaging-sorEdiValues,ConceptMap/medcom-messaging-mapFhirToSorEdi"
http://medcomfhir.dk/ig/terminology/CodeSystem/medcom-observation-codes,2.0.0-draft,draft,,MedComObservationCodes,MedComObservationCodes,"CodeSystem with observations codes used in HomeCareObservation","ValueSet/medcom-observation-valueset"
http://medcomfhir.dk/ig/terminology/CodeSystem/medcom-observation-resultGroup,2.0.0-draft,draft,,MedComObservationResultGroup,MedComObservationResultGroup,"The observation result group are intended to be used to sort the individual analyzes.","ValueSet/medcom-obs-responseGroup"
http://snomed.info/sct,null,active,"2.16.840.1.113883.6.96",SNOMED_CT,SNOMED CT (all versions),"SNOMED CT is the most comprehensive and precise clinical health terminology product in the world, owned and distributed around the world by The International Health Terminology Standards Development Organisation (IHTSDO).","ValueSet/medcom-conditionlist-status-valueset"
http://terminology.hl7.org/CodeSystem/operation-outcome,3.0.0,draft,"2.16.840.1.113883.4.642.1.1127",OperationOutcomeCodes,Operation Outcome Codes,"Operation Outcome codes used by FHIR test servers (see Implementation file translations.xml)","ValueSet/medcom-acknowledgement-issue-details"
http://terminology.hl7.org/CodeSystem/usage-context-type,2.0.1,active,"2.16.840.1.113883.4.642.1.1068",UsageContextType,UsageContextType,"A code that specifies a type of context being specified by a usage context.","ValueSet/medcom-messagedefinition-use-context-code-valueset"
http://terminology.hl7.org/CodeSystem/v3-ActCode,9.0.0,active,"2.16.840.1.113883.5.4",ActCode,ActCode,"A code specifying the particular kind of Act that the Act-instance represents within its class.    *Constraints:* The kind of Act (e.g. physical examination, serum potassium, inpatient encounter, charge financial transaction, etc.) is specified with a code from one of several, typically external, coding systems. The coding system will depend on the class of Act, such as LOINC for observations, etc.    Conceptually, the Act.code must be a specialization of the Act.classCode. This is why the structure of ActClass domain should be reflected in the superstructure of the ActCode domain and then individual codes or externally referenced vocabularies subordinated under these domains that reflect the ActClass structure.    Act.classCode and Act.code are not modifiers of each other but the Act.code concept should really imply the Act.classCode concept. For a negative example, it is not appropriate to use an Act.code ""potassium"" together with and Act.classCode for ""laboratory observation"" to somehow mean ""potassium laboratory observation"" and then use the same Act.code for ""potassium"" together with Act.classCode for ""medication"" to mean ""substitution of potassium"". This mutually modifying use of Act.code and Act.classCode is not permitted.","ValueSet/medcom-core-encounter-class,ValueSet/medcom-hospitalNotification-encounterClass"
http://terminology.hl7.org/CodeSystem/v3-NullFlavor,3.0.0,active,"2.16.840.1.113883.5.1008",NullFlavor,NullFlavor,"A collection of codes specifying why a valid value is not present.","ValueSet/medcom-core-PractitionerRoles"
http://terminology.hl7.org/CodeSystem/v3-ObservationInterpretation,3.0.0,active,"2.16.840.1.113883.5.83",ObservationInterpretation,ObservationInterpretation,"One or more codes providing a rough qualitative interpretation of the observation, such as ""normal"" / ""abnormal"", ""low"" / ""high"", ""better"" / ""worse"", ""resistant"" / ""susceptible"", ""expected"" / ""not expected"". The value set is intended to be for ANY use where coded representation of an interpretation is needed.","ValueSet/medcom-core-interpreation-valueset"
urn:oid:1.2.208.176.2.1,2.0.0-draft,draft,"1.2.208.176.2.1",NPUObservationCodes,NPUObservationCodes,"CodeSystem with NPU observation codes","ValueSet/npu-observation-codes-valueset"
