Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-medcom.fhir.dk.xdsdocuments.json	4807	-	0	0	0	0	0	0	11	125	0	0	0	0	0	0	0	1	0	0	102	83	0	0	0	3	0	0
fsh-generated/resources/CodeSystem-MedComHCOFormatCodeCS.json	662	11	0	0	1	0	0	0	0	100	0	0	1	0	0	0	0	0	0	0	36	557	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-MedComHCOTypeCodeCS.json	522	9	0	0	0	0	0	0	0	96	0	0	0	0	0	0	0	0	0	0	25	100	0	0	0	0	0	0
fsh-generated/resources/DocumentReference-16002002-ac41-45de-ad6b-eb02b098e859.json	5229	12	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	41	55	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-homecare-observation-documentreference.json	20052	13	0	619	0	0	0	0	1	191	0	0	0	0	0	0	0	4	0	0	974	2086	0	0	0	33	1	2
fsh-generated/resources/ValueSet-MedComHCOFormatCodeVS.json	506	10	0	0	0	0	0	0	0	551	0	0	0	0	0	0	0	0	0	0	26	86	0	0	0	0	0	0
fsh-generated/resources/ValueSet-MedComHCOTypeCodeVS.json	452	13	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	24	66	0	0	0	1	0	0
/fsh-generated/includes/fsh-link-references.md	443	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
/fsh-generated/includes/menu.xml	1159	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/pagecontent/StructureDefinition-apd-dk-documentreference-intro.md	673	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/pagecontent/index.md	2025	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/pagecontent/StructureDefinition-qrd-dk-documentreference-intro.md	673	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
/input/pagecontent/StructureDefinition-core-documentreference-intro.md	247	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/pagecontent/profiles.xml	388	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0
/input/pagecontent/extensions.xml	250	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0
/template/config	0	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
/template/config/_config.yml	140	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/temp/pages/_includes/artifacts.xml	4688	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	0	0	0	0	0	0
