URL,Version,Status,OIDs,Name,Title,Description,Used
http://loinc.org,3.1.0,active,"2.16.840.1.113883.6.1",LOINC,Logical Observation Identifiers, Names and Codes (LOINC),"LOINC provides a set of universal names and ID codes for identifying laboratory and clinical test results.1,2 LOINC facilitates the exchange and pooling of results, such as blood hemoglobin, serum potassium, or vital signs, for clinical care, outcomes management, and research. LOINC's universal identifiers (names and codes) can be used in the context of order and observation exchanges between information systems that use syntax standards such as HL73, CEN TC251, ISO TC215, ASTM4, and DICOM. Specifically, the identifier can be used as the coded value for an observation in any other standard that uses the observation/observation value paradigm, whether messages, documents, application programming interface (API), etc. For example, LOINC codes are used widely in the OBX segment Observation Identifier field (OBX-3) of an ORU HL7 (HL7 version 2.x or ASTM 1238-9410) message that may be sent between a Clinical Laboratory Information Management Systems (LIMS) and Electronic Health Record Systems (EHR).5, 6 In this way, LOINC codes provide universal identifiers that allow the exchange of clinical data between heterogeneous computing environments.","ValueSet/MedCom-xds-typecode-VS"
http://medcomfhir.dk/ig/xdsmetadata/CodeSystem/MedCom-xds-analysis-codes-CS,1.0.0,active,,MedCom_XDS_AnalysisCodes,DK MedCom analysis codes,"CodeSystem for MedCom analysis codes","ValueSet/MedCom-xds-eventcodelist-VS"
http://medcomfhir.dk/ig/xdsmetadata/CodeSystem/MedCom-xds-classcode-CS,1.0.0,active,,MedCom_XDS_ClassCode_CS,DK XDS ClassCode,"CodeSystem for ClassCode","ValueSet/MedCom-xds-classcode-VS"
http://medcomfhir.dk/ig/xdsmetadata/CodeSystem/MedCom-xds-formatcode-CS,1.0.0,active,,MedCom_XDS_FormatCode_CS,DK XDS FormatCode,"CodeSystem for FormatCode","ValueSet/MedCom-xds-formatcode-VS"
http://medcomfhir.dk/ig/xdsmetadata/CodeSystem/MedCom-xds-homeCommunityId-CS,1.0.0,active,"1.2.208.176.8.1",MedCom_XDS_HomeCommunityId,DK XDS Affinity Domain,"DK XDS Affinity Domains who has agreed to share healthcare related documents in Denmark","ValueSet/MedCom-xds-homeCommunityId-VS"
http://medcomfhir.dk/ig/xdsmetadata/CodeSystem/MedCom-xds-typecode-CS,1.0.0,active,,MedCom_XDS_TypeCode_CS,DK MedCom Message Codes,"MedCom document type codes (Danish)","ValueSet/MedCom-xds-typecode-VS"
http://npu-terminology.org,3.5.0,active,"1.2.208.176.9.1",NPU,Nomenclature for Properties and Units (NPU) - Fragment for DK Core,"Fragment of the NPU code system used in DK Core. The full version of NPU can be found at http://labterm.dk","ValueSet/MedCom-xds-eventcodelist-VS"
http://snomed.info/sct,null,active,"2.16.840.1.113883.6.96",SNOMED_CT,SNOMED CT (all versions),"SNOMED CT is the most comprehensive and precise clinical health terminology product in the world, owned and distributed around the world by The International Health Terminology Standards Development Organisation (IHTSDO).","ValueSet/MedCom-xds-typecode-VS"
http://terminology.hl7.org/CodeSystem/v3-mediaType,4.0.0,active,"2.16.840.1.113883.5.79",MediaType,Media Type,"Internet Assigned Numbers Authority (IANA) Mime Media Types. Identifies the type of the encapsulated data and identifies a method to interpret or render the data. The IANA defined domain of media types is established by the Internet standard RFC 2045 \[http://www.ietf.org/rfc/rfc2045.txt\] and 2046 \[http://www.ietf.org/rfc/rfc2046.txt\]. RFC 2046 defines the media type to consist of two parts:    1.  top level media type, and  2.  media subtype    However, this HL7 datatypes specification treats the entire media type as one atomic code symbol in the form defined by IANA, i.e., top level type followed by a slash ""/"" followed by media subtype. Currently defined media types are registered in a database \[http://www.iana.org/assignments/media-types/index.html\] maintained by IANA. Currently several hundred different MIME media types are defined, with the list growing rapidly. In general, all those types defined by the IANA MAY be used.","ValueSet/MedCom-xds-mimetype-fhir-VS"
urn:ietf:bcp:47,2.0.1,active,,Ietf3066,Tags for the Identification of Languages,"Older value from OID registry.  Superceded; see recommendations in BCP-47.","ValueSet/MedCom-xds-languagecode-VS"
