Source File	Size	loadResources	load-configure	scan	loadDepInfo	loadInfo	load	generateSnapshots	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
\fsh-generated\resources\ImplementationGuide-medcom.fhir.dk.xdsmetadata.json	7304	-	0	0	0	0	0	0	24	250	0	0	0	0	0	0	0	1	0	0	435	293	0	0	3	10	0	0
fsh-generated/resources/CodeSystem-MedCom-ihe-classcode-CS.json	577	30	1	0	0	1	0	0	1	16	0	0	0	0	0	0	0	0	2	0	27	4535	0	0	1	2	0	0
fsh-generated/resources/CodeSystem-MedCom-ihe-formatcode-CS.json	3162	31	0	0	0	0	0	0	2	46	0	0	0	0	0	0	0	0	0	0	77	270	0	0	0	6	0	0
fsh-generated/resources/CodeSystem-MedCom-ihe-homeCommunityId-CS.json	807	16	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	39	148	0	0	1	2	0	0
fsh-generated/resources/CodeSystem-MedCom-ihe-typecode-CS.json	963	24	2	0	0	0	0	0	0	45	0	0	0	0	0	0	0	0	0	0	34	168	0	0	0	1	0	0
fsh-generated/resources/ValueSet-MedCom-dk-ihe-plr-typecode-VS.json	734	9	0	0	0	0	0	0	1	186	0	0	0	0	0	0	0	0	0	0	30	12858	0	0	0	3	0	0
fsh-generated/resources/ValueSet-MedCom-ihe-core-classcode-VS.json	646	19	0	0	2	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	37	141	0	0	0	4	0	0
fsh-generated/resources/ValueSet-MedCom-ihe-core-confidentialitycode-VS.json	649	14	2	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	45	163	0	0	0	3	0	0
fsh-generated/resources/ValueSet-MedCom-ihe-core-eventcodelist-VS.json	3904	26	0	0	0	0	0	0	1	54	0	0	0	0	0	0	0	1	0	0	96	178	0	0	0	1	0	0
fsh-generated/resources/ValueSet-MedCom-ihe-core-formatcode-VS.json	523	9	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	40	237	0	0	0	1	0	0
fsh-generated/resources/ValueSet-MedCom-ihe-core-HealthcareFacilityTypeCode-VS.json	7595	49	0	0	0	0	0	0	3	98	0	0	0	0	0	0	0	0	0	0	163	193	0	0	0	3	0	0
fsh-generated/resources/ValueSet-MedCom-ihe-core-homeCommunityId-VS.json	888	14	3	0	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	58	110	0	0	0	4	0	0
fsh-generated/resources/ValueSet-MedCom-ihe-core-languagecode-VS.json	719	9	2	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	47	122	0	0	0	5	0	0
fsh-generated/resources/ValueSet-MedCom-ihe-core-mimetype-VS.json	875	5	1	0	0	0	0	0	1	14	0	0	0	0	0	0	0	0	0	0	45	121	0	0	1	4	0	0
fsh-generated/resources/ValueSet-MedCom-ihe-core-PracticeSettingCode-VS.json	6508	31	1	0	0	0	0	0	3	101	0	0	0	0	0	0	0	0	0	0	187	235	0	0	0	4	1	1
fsh-generated/resources/ValueSet-MedCom-ihe-core-typecode-VS.json	2606	17	1	0	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	82	162	0	0	0	5	0	0
fsh-generated/resources/ValueSet-MedCom-ihe-plr-formatcode-VS.json	692	11	1	0	0	0	0	0	1	17	0	0	0	0	0	0	0	0	0	0	30	128	0	0	0	2	0	0
