Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-medcom.fhir.dk.xdsmetadata.json	7302	-	0	0	0	0	0	0	7	364	0	0	0	0	0	0	0	1	0	0	108	87	0	0	0	9	0	1
fsh-generated/resources/CodeSystem-MedCom-ihe-classcode-CS.json	577	13	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	15	1876	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-MedCom-ihe-formatcode-CS.json	3162	10	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	26	82	0	0	0	3	0	0
fsh-generated/resources/CodeSystem-MedCom-ihe-homeCommunityId-CS.json	807	2	0	0	0	0	0	0	1	5	0	0	0	0	0	0	0	0	0	0	10	47	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-MedCom-ihe-typecode-CS.json	963	3	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	11	48	0	0	0	0	0	0
fsh-generated/resources/ValueSet-MedCom-dk-ihe-plr-typecode-VS.json	734	3	0	0	1	0	0	0	0	551	0	0	0	0	0	0	0	0	0	0	9	652	0	0	0	1	0	0
fsh-generated/resources/ValueSet-MedCom-ihe-core-HealthcareFacilityTypeCode-VS.json	7595	5	0	0	0	0	0	0	1	561	0	0	0	0	0	0	0	0	0	0	26	573	0	0	0	2	0	0
fsh-generated/resources/ValueSet-MedCom-ihe-core-PracticeSettingCode-VS.json	6508	4	0	0	0	0	0	0	1	508	0	0	0	0	0	0	0	0	0	0	22	595	0	0	0	2	0	0
fsh-generated/resources/ValueSet-MedCom-ihe-core-classcode-VS.json	646	2	0	0	0	0	0	0	0	489	0	0	0	0	0	0	0	0	0	0	9	550	0	0	0	1	0	0
fsh-generated/resources/ValueSet-MedCom-ihe-core-confidentialitycode-VS.json	649	1	0	0	0	0	0	0	1	495	0	0	0	0	0	0	0	0	0	0	10	538	0	0	0	0	0	0
fsh-generated/resources/ValueSet-MedCom-ihe-core-eventcodelist-VS.json	3904	3	0	0	1	0	0	0	0	2457	0	0	0	0	0	0	0	0	0	0	20	799	0	0	0	2	0	0
fsh-generated/resources/ValueSet-MedCom-ihe-core-formatcode-VS.json	523	1	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	10	100	0	0	0	0	0	0
fsh-generated/resources/ValueSet-MedCom-ihe-core-homeCommunityId-VS.json	888	2	0	0	0	0	0	0	0	482	0	0	0	0	0	0	0	0	0	0	10	557	0	0	0	0	0	0
fsh-generated/resources/ValueSet-MedCom-ihe-core-languagecode-VS.json	719	2	0	0	0	0	0	0	0	501	0	0	0	0	0	0	0	1	0	0	9	526	0	0	0	1	0	0
fsh-generated/resources/ValueSet-MedCom-ihe-core-mimetype-VS.json	875	1	0	0	0	0	0	0	0	491	0	0	0	0	0	0	0	0	0	0	9	519	0	0	0	0	0	0
fsh-generated/resources/ValueSet-MedCom-ihe-core-typecode-VS.json	2606	4	0	0	0	0	0	0	1	986	0	0	0	0	0	0	0	0	0	0	14	624	0	0	0	1	0	0
fsh-generated/resources/ValueSet-MedCom-ihe-plr-formatcode-VS.json	692	3	0	0	0	0	0	0	0	492	0	0	0	0	0	0	0	0	0	0	9	522	0	0	0	1	0	0
