URL,Version,Status,OIDs,Name,Title,Description,Used
http://loinc.org,2.82,active,,LOINC,,"This is a place holder for the code system which is fully supported through internal means (not by this code system)","ValueSet/MedCom-xds-typecode-VS"
http://medcomfhir.dk/ig/xdsmetadata/CodeSystem/MedCom-xds-analysis-codes-CS,1.0.0,active,,MedCom_XDS_AnalysisCodes,DK MedCom analysis codes,"CodeSystem for MedCom analysis codes","ValueSet/MedCom-xds-eventcodelist-VS"
http://medcomfhir.dk/ig/xdsmetadata/CodeSystem/MedCom-xds-classcode-CS,1.0.0,active,,MedCom_XDS_ClassCode_CS,DK XDS ClassCode,"CodeSystem for ClassCode","ValueSet/MedCom-xds-classcode-VS"
http://medcomfhir.dk/ig/xdsmetadata/CodeSystem/MedCom-xds-formatcode-CS,1.0.0,active,,MedCom_XDS_FormatCode_CS,DK XDS FormatCode,"CodeSystem for FormatCode","ValueSet/MedCom-xds-formatcode-VS"
http://medcomfhir.dk/ig/xdsmetadata/CodeSystem/MedCom-xds-homeCommunityId-CS,1.0.0,active,"1.2.208.176.8.1",MedCom_XDS_HomeCommunityId,DK XDS Affinity Domain,"DK XDS Affinity Domains who has agreed to share healthcare related documents in Denmark","ValueSet/MedCom-xds-homeCommunityId-VS"
http://medcomfhir.dk/ig/xdsmetadata/CodeSystem/MedCom-xds-typecode-CS,1.0.0,active,,MedCom_XDS_TypeCode_CS,DK MedCom Message Codes,"MedCom document type codes (Danish)","ValueSet/MedCom-xds-typecode-VS"
http://npu-terminology.org,INT 2026-05-29,active,"1.2.208.176.9.1",NPUTerminology,NPU Terminology Code System,"NPU Terminology International edition Code System. Generated from testdata/INTERNATIONAL_TOTAL__NPUCONCEPT_2026-05-29.xml on 2026-05-29 10:17","ValueSet/MedCom-xds-eventcodelist-VS"
http://snomed.info/sct,null,active,"2.16.840.1.113883.6.96",SNOMED_CT,SNOMED CT (all versions),"SNOMED CT is the most comprehensive and precise clinical health terminology product in the world, owned and distributed around the world by The International Health Terminology Standards Development Organisation (IHTSDO).","ValueSet/MedCom-xds-HealthcareFacilityTypeCode-VS,ValueSet/MedCom-xds-PracticeSettingCode-VS,ValueSet/MedCom-xds-typecode-VS"
http://terminology.hl7.org/CodeSystem/v3-Confidentiality,4.0.0,active,"2.16.840.1.113883.5.25",Confidentiality,Confidentiality,"A set of codes specifying the security classification of acts and roles in accordance with the definition for concept domain ""Confidentiality"".","ValueSet/MedCom-xds-confidentialitycode-VS"
http://terminology.hl7.org/CodeSystem/v3-mediaType,4.0.0,active,"2.16.840.1.113883.5.79",MediaType,Media Type,"Internet Assigned Numbers Authority (IANA) Mime Media Types. Identifies the type of the encapsulated data and identifies a method to interpret or render the data. The IANA defined domain of media types is established by the Internet standard RFC 2045 \[http://www.ietf.org/rfc/rfc2045.txt\] and 2046 \[http://www.ietf.org/rfc/rfc2046.txt\]. RFC 2046 defines the media type to consist of two parts:    1.  top level media type, and  2.  media subtype    However, this HL7 datatypes specification treats the entire media type as one atomic code symbol in the form defined by IANA, i.e., top level type followed by a slash ""/"" followed by media subtype. Currently defined media types are registered in a database \[http://www.iana.org/assignments/media-types/index.html\] maintained by IANA. Currently several hundred different MIME media types are defined, with the list growing rapidly. In general, all those types defined by the IANA MAY be used.","ValueSet/MedCom-xds-mimetype-fhir-VS,ValueSet/MedCom-xds-mimetype-xml-VS"
