Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-medcom.fhir.dk.xdsmetadata.json	7302	-	0	0	0	0	0	0	3	252	0	0	0	0	0	0	0	0	0	0	80	36	0	0	0	3	0	1
fsh-generated/resources/CodeSystem-MedCom-ihe-classcode-CS.json	577	3	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	13	1173	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-MedCom-ihe-formatcode-CS.json	3162	3	0	0	1	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	29	36	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-MedCom-ihe-homeCommunityId-CS.json	807	3	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	14	31	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-MedCom-ihe-typecode-CS.json	963	3	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	15	34	0	0	0	0	0	0
fsh-generated/resources/ValueSet-MedCom-dk-ihe-plr-typecode-VS.json	734	3	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	13	31	0	0	0	1	0	0
fsh-generated/resources/ValueSet-MedCom-ihe-core-HealthcareFacilityTypeCode-VS.json	7595	3	0	0	0	0	0	0	1	7	0	0	0	0	0	0	0	0	0	0	32	41	0	0	0	0	0	0
fsh-generated/resources/ValueSet-MedCom-ihe-core-PracticeSettingCode-VS.json	6508	4	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	1	0	0	28	37	0	0	0	1	0	0
fsh-generated/resources/ValueSet-MedCom-ihe-core-classcode-VS.json	646	3	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	13	31	0	0	0	0	0	0
fsh-generated/resources/ValueSet-MedCom-ihe-core-confidentialitycode-VS.json	649	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	12	26	0	0	0	0	0	0
fsh-generated/resources/ValueSet-MedCom-ihe-core-eventcodelist-VS.json	3904	4	0	0	0	0	0	0	1	4	0	0	0	0	0	0	0	0	0	0	24	34	0	0	0	1	0	0
fsh-generated/resources/ValueSet-MedCom-ihe-core-formatcode-VS.json	523	2	0	0	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	12	65	0	0	0	0	0	0
fsh-generated/resources/ValueSet-MedCom-ihe-core-homeCommunityId-VS.json	888	3	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	13	27	0	1	0	0	0	0
fsh-generated/resources/ValueSet-MedCom-ihe-core-languagecode-VS.json	719	3	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	12	25	0	0	0	0	0	0
fsh-generated/resources/ValueSet-MedCom-ihe-core-mimetype-VS.json	875	3	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	14	29	0	0	0	0	0	0
fsh-generated/resources/ValueSet-MedCom-ihe-core-typecode-VS.json	2606	3	1	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	19	34	0	0	0	1	0	0
fsh-generated/resources/ValueSet-MedCom-ihe-plr-formatcode-VS.json	692	3	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	12	30	0	0	0	0	0	0
